Id;Completion time;Do you have an interest in digital/electronic musical instruments? (A digital musical instrument can be defined as an instrument that uses computer-generated sound and consists of a control surface or;Which types of DMIs/EMIs have you used before? (Select all that apply);Which DMIs/EMIs do you use regularly, or do you only engage with cello (and other acoustic instruments)?;In which of the following contexts do you use DMIs/EMIs, or the cello? (Select all that apply);"If you chose ""Other"", please specify.";How many times in a typical year do you perform in public?;Would you be willing to spend up to 2 hours per week practicing with a novel DMI for a span of two weeks?
1;30-04-2026 12:25;Yes;"Keyboard;Synthesizers;Drum machines;FX processors;FX pedals;Computer software;MIDI controllers;";DAW, Novation Circuit, guitar pedals, midi keyboards;"Recording;Live performance;";;10 times;Yes
2;07-05-2026 17:13;Yes, I think it is very interesting;"Computer software;";I don’t use DMIs/EMIs on regular basis I only engage with cello and other acoustic instruments;;;51 to 100 times;No
3;12-05-2026 23:08;Yes;"Keyboard;";Only cello;"Personal practice;";;Less than 10 times;Yes
